Company Tickers,P/E Current,P/E Ratio (w/ extraordinary items),P/E Ratio (w/o extraordinary items),Price to Sales Ratio,Price to Book Ratio,Price to Cash Flow Ratio,Enterprise Value to EBITDA,Enterprise Value to Sales,Total Debt to Enterprise Value,Revenue/Employee,Income Per Employeee,Receivables Turnover,Total Asset Turnover,Current Ratio,Quick Ratio,Cash Ratio,Gross Margin,Operating Margin,Pretax Margin,Net Margin,Return on Assets,Return on Equity,Return on Total Capital,Return on Invested Capital,Total Debt to Total Equity,Total Debt to Total Capital,Total Debt to Total Assets,Long-Term Debt to Equity,Long-Term Debt to Total Capital
VFC,13.35,18.16,16.00,1.87,6.22,25.75,10.01,2.00,N/A,N/A,N/A,N/A,0.88,1.38,0.96,0.38,54.86%,14.38%,12.83%,10.25%,8.98%,36.93%,16.45%,N/A,N/A,N/A,50.95,N/A,N/A
VTRS,N/A,17.53,N/A,0.92,0.80,5.42,7.32,2.09,N/A,N/A,N/A,N/A,0.31,1.10,0.70,0.09,34.70%,9.34%,-3.72%,-7.11%,-2.18%,-5.84%,3.59%,N/A,N/A,N/A,42.62,N/A,N/A
VICI,19.82,49.87,17.14,11.51,1.56,19.38,26.30,20.56,N/A,N/A,N/A,N/A,0.09,N/A,N/A,N/A,98.42%,94.99%,67.97%,67.16%,5.85%,9.42%,8.50%,N/A,N/A,N/A,28.37,N/A,N/A
V,38.46,31.48,40.59,20.22,13.65,32.01,26.38,15.62,0.04,$1.121M,"$558,512",7.11,0.29,1.75,1.75,1.24,76.05%,65.66%,66.64%,49.82%,14.66%,32.54%,26.37%,20.74%,57.46,36.49,26.05,59.34,34.60
VNO,58.01,46.71,79.58,5.06,1.59,9.27,19.90,7.50,N/A,N/A,N/A,N/A,0.09,N/A,N/A,N/A,23.88%,15.00%,12.40%,11.07%,1.05%,2.76%,1.51%,N/A,N/A,N/A,52.30,N/A,N/A
VMC,34.95,39.47,41.31,4.99,4.21,27.39,18.92,4.20,N/A,N/A,N/A,N/A,0.43,2.21,1.53,0.31,24.74%,17.21%,15.74%,12.14%,5.23%,10.72%,9.11%,N/A,N/A,N/A,33.54,N/A,N/A
WAB,31.97,27.19,31.16,2.22,1.68,16.15,14.65,2.66,N/A,N/A,N/A,N/A,0.42,1.32,0.74,0.16,27.29%,12.20%,9.42%,7.11%,3.01%,5.47%,6.51%,N/A,N/A,N/A,23.71,N/A,N/A
WBA,15.64,6.45,19.81,0.33,1.88,7.92,11.41,0.50,0.44,"$420,663","$6,330.00",20.71,1.57,0.72,0.35,0.06,19.73%,3.03%,1.51%,1.50%,2.37%,9.05%,6.61%,3.60%,146.90,59.50,42.32,131.53,53.27
WMT,27.12,28.13,28.68,0.68,4.64,16.22,10.36,0.70,N/A,N/A,N/A,N/A,2.30,0.93,0.28,0.17,25.10%,4.97%,3.26%,2.39%,5.50%,16.66%,18.96%,N/A,N/A,N/A,23.41,N/A,N/A
WBD,8.94,N/A,15.39,1.29,1.04,5.62,12.31,2.32,N/A,N/A,N/A,N/A,0.36,2.10,2.03,1.14,49.11%,16.93%,11.76%,8.39%,2.98%,9.26%,7.15%,N/A,N/A,N/A,45.44,N/A,N/A
WM,39.53,32.97,38.87,3.94,9.75,16.27,16.41,4.41,N/A,N/A,N/A,N/A,0.60,0.75,0.72,0.03,26.89%,16.78%,13.10%,10.13%,6.13%,24.92%,14.04%,N/A,N/A,N/A,47.03,N/A,N/A
WAT,29.69,28.58,33.36,8.30,61.56,30.93,21.74,7.20,N/A,N/A,N/A,N/A,0.94,2.39,1.87,0.84,58.31%,29.76%,28.94%,24.87%,23.35%,231.06%,45.39%,N/A,N/A,N/A,51.74,N/A,N/A
WEC,25.70,24.42,23.61,3.69,2.81,15.10,18.57,5.45,N/A,N/A,N/A,N/A,0.21,0.71,0.54,0.01,21.30%,18.77%,18.02%,15.65%,3.35%,12.14%,6.03%,N/A,N/A,N/A,39.22,N/A,N/A
WFC,9.15,10.48,9.70,2.30,1.11,7.34,9.03,4.85,N/A,N/A,N/A,N/A,0.04,0.76,N/A,N/A,N/A,34.99%,33.73%,25.22%,1.10%,11.57%,7.01%,N/A,N/A,N/A,10.19,N/A,N/A
WELL,354.73,96.30,374.54,7.73,2.18,23.73,27.59,9.46,N/A,N/A,N/A,N/A,0.14,N/A,N/A,N/A,19.64%,17.29%,3.61%,7.10%,1.00%,2.00%,2.62%,N/A,N/A,N/A,42.04,N/A,N/A
WST,39.31,37.70,54.07,12.64,14.90,61.28,28.16,8.48,N/A,N/A,N/A,N/A,0.93,2.93,2.30,1.28,41.45%,26.80%,26.46%,23.38%,21.67%,31.59%,31.35%,N/A,N/A,N/A,9.82,N/A,N/A
WDC,10.33,N/A,9.14,0.73,N/A,7.30,5.95,1.07,N/A,N/A,N/A,N/A,0.72,2.07,1.28,0.51,31.29%,12.99%,11.30%,7.98%,5.73%,13.08%,12.54%,N/A,N/A,N/A,26.74,N/A,N/A
WRK,13.68,11.94,15.90,0.71,1.13,5.85,6.95,0.93,0.41,"$375,673","$16,796.00",7.33,0.65,1.55,0.96,0.08,16.58%,7.21%,5.79%,4.47%,2.89%,7.52%,6.53%,4.13%,76.35,43.29,30.46,73.38,41.61
WY,10.49,11.05,11.86,3.03,2.86,9.79,7.50,2.85,N/A,N/A,N/A,N/A,0.60,N/A,N/A,N/A,44.85%,34.95%,32.51%,25.56%,15.35%,26.74%,23.51%,N/A,N/A,N/A,29.58,N/A,N/A
WHR,5.90,13.18,8.28,0.67,2.86,6.78,4.27,0.57,N/A,N/A,N/A,N/A,1.08,1.14,0.82,0.36,20.13%,10.66%,10.61%,8.11%,8.78%,41.25%,21.35%,N/A,N/A,N/A,29.73,N/A,N/A
WMB,27.31,26.53,20.95,3.00,2.78,8.04,14.31,5.94,N/A,N/A,N/A,N/A,0.22,0.91,0.84,0.34,29.37%,24.15%,19.61%,14.35%,3.16%,13.08%,6.80%,N/A,N/A,N/A,47.91,N/A,N/A
WTW,6.61,6.86,7.26,3.39,2.19,14.89,11.01,2.76,N/A,N/A,N/A,N/A,0.25,N/A,N/A,N/A,76.75%,15.76%,29.83%,23.74%,5.83%,17.79%,7.80%,N/A,N/A,N/A,15.70,N/A,N/A
GWW,29.02,22.62,25.94,2.08,14.16,28.87,18.48,2.25,N/A,N/A,N/A,N/A,2.02,2.63,1.40,0.16,35.76%,11.88%,11.40%,8.01%,16.19%,56.35%,32.13%,N/A,N/A,N/A,41.90,N/A,N/A
WYNN,N/A,N/A,N/A,2.57,N/A,N/A,53.10,4.46,N/A,N/A,N/A,N/A,0.29,2.23,2.18,1.96,13.00%,-10.30%,-26.88%,-20.08%,-5.73%,N/A,-3.26%,N/A,N/A,N/A,96.73,N/A,N/A
XEL,25.23,24.96,22.89,2.73,2.36,16.70,14.78,4.67,N/A,N/A,N/A,N/A,0.23,0.84,0.72,0.06,20.89%,16.17%,11.42%,11.95%,2.73%,10.58%,5.60%,N/A,N/A,N/A,40.89,N/A,N/A
XYL,43.00,43.40,50.98,4.19,6.72,40.46,23.34,3.75,N/A,N/A,N/A,N/A,0.61,2.27,1.77,0.97,38.07%,11.46%,9.83%,8.21%,5.02%,13.81%,9.68%,N/A,N/A,N/A,33.25,N/A,N/A
YUM,22.57,23.05,26.63,6.37,N/A,24.58,19.41,6.73,N/A,N/A,N/A,N/A,1.11,1.08,1.08,0.52,48.09%,31.99%,25.43%,23.92%,26.65%,N/A,56.10%,N/A,N/A,N/A,203.27,N/A,N/A
ZBRA,22.33,36.38,38.33,5.70,10.65,30.01,15.63,3.24,N/A,N/A,N/A,N/A,0.97,0.94,0.67,0.19,44.68%,18.00%,17.20%,14.87%,14.44%,32.64%,26.39%,N/A,N/A,N/A,18.42,N/A,N/A
ZBH,61.41,107.41,66.55,3.41,2.10,17.83,13.89,4.25,N/A,N/A,N/A,N/A,0.33,1.41,0.72,0.14,62.28%,15.30%,5.34%,5.12%,1.68%,3.23%,5.90%,N/A,N/A,N/A,31.37,N/A,N/A
ZION,8.43,10.48,9.30,3.42,1.36,14.02,N/A,3.49,N/A,N/A,N/A,N/A,0.03,0.32,N/A,N/A,N/A,48.92%,48.92%,37.79%,1.28%,14.55%,14.02%,N/A,N/A,N/A,2.29,N/A,N/A
ZTS,40.53,39.07,57.11,14.96,25.38,52.57,26.09,10.61,N/A,N/A,N/A,N/A,0.57,3.86,2.79,1.94,68.31%,36.05%,32.00%,26.20%,14.81%,49.01%,24.91%,N/A,N/A,N/A,48.81,N/A,N/A
