Company Tickers,P/E Current,P/E Ratio (w/ extraordinary items),P/E Ratio (w/o extraordinary items),Price to Sales Ratio,Price to Book Ratio,Price to Cash Flow Ratio,Enterprise Value to EBITDA,Enterprise Value to Sales,Total Debt to Enterprise Value,Revenue/Employee,Income Per Employeee,Receivables Turnover,Total Asset Turnover,Current Ratio,Quick Ratio,Cash Ratio,Gross Margin,Operating Margin,Pretax Margin,Net Margin,Return on Assets,Return on Equity,Return on Total Capital,Return on Invested Capital,Total Debt to Total Equity,Total Debt to Total Capital,Total Debt to Total Assets,Long-Term Debt to Equity,Long-Term Debt to Total Capital
DD,5.28,16.98,6.80,2.64,1.56,19.27,9.50,2.68,N/A,N/A,N/A,N/A,0.29,1.89,1.22,0.47,3216.00,1731.00,1319.00,1054.00,301.00,541.00,577.00,N/A,N/A,N/A,24.63,N/A,N/A
DXC,9.47,11.67,11.60,0.51,1.53,4.20,4.16,0.61,N/A,N/A,N/A,N/A,0.77,1.09,1.09,0.39,1094.00,297.00,702.00,441.00,340.00,1432.00,406.00,N/A,N/A,N/A,30.63,N/A,N/A
EMN,16.18,10.48,19.34,1.58,2.73,10.24,8.64,1.59,N/A,N/A,N/A,N/A,0.66,1.56,1.06,0.15,2402.00,1401.00,1032.00,818.00,542.00,1462.00,1274.00,N/A,N/A,N/A,34.58,N/A,N/A
ETN,28.55,26.41,32.37,3.54,4.20,32.09,18.25,3.50,N/A,N/A,N/A,N/A,0.60,1.04,0.63,0.08,3217.00,1462.00,1475.00,1092.00,651.00,1368.00,1172.00,N/A,N/A,N/A,26.56,N/A,N/A
EBAY,N/A,76.15,N/A,4.14,4.04,16.32,8.32,2.92,N/A,N/A,N/A,N/A,0.46,1.97,1.97,1.58,7466.00,2885.00,380.00,240.00,110.00,378.00,1946.00,N/A,N/A,N/A,35.42,N/A,N/A
ECL,44.54,45.12,60.02,5.33,9.32,32.89,23.11,4.32,N/A,N/A,N/A,N/A,0.65,1.32,0.90,0.10,4101.00,1323.00,1111.00,887.00,575.00,1688.00,1133.00,N/A,N/A,N/A,43.18,N/A,N/A
EIX,35.42,53.45,34.17,1.74,1.87,2357.73,10.99,3.38,N/A,N/A,N/A,N/A,0.21,0.64,0.59,0.05,2350.00,1892.00,529.00,549.00,114.00,547.00,645.00,N/A,N/A,N/A,39.51,N/A,N/A
EW,44.01,45.13,54.40,15.63,13.85,47.21,36.19,11.99,N/A,N/A,N/A,N/A,0.66,3.08,2.38,1.42,7657.00,3078.00,3253.00,2873.00,1910.00,2888.00,2731.00,N/A,N/A,N/A,8.12,N/A,N/A
EA,47.62,41.20,45.86,5.17,4.65,19.05,22.03,4.99,N/A,N/A,N/A,N/A,0.52,1.18,1.18,0.87,7101.00,1630.00,1543.00,1126.00,583.00,1020.00,1151.00,N/A,N/A,N/A,16.17,N/A,N/A
ELV,19.88,19.61,18.74,0.83,3.11,13.68,13.38,0.92,N/A,N/A,N/A,N/A,1.49,1.47,N/A,N/A,N/A,645.00,572.00,440.00,657.00,1763.00,1302.00,N/A,N/A,N/A,24.65,N/A,N/A
