Company Tickers,P/E Current,P/E Ratio (w/ extraordinary items),P/E Ratio (w/o extraordinary items),Price to Sales Ratio,Price to Book Ratio,Price to Cash Flow Ratio,Enterprise Value to EBITDA,Enterprise Value to Sales,Total Debt to Enterprise Value,Revenue/Employee,Income Per Employeee,Receivables Turnover,Total Asset Turnover,Current Ratio,Quick Ratio,Cash Ratio,Gross Margin,Operating Margin,Pretax Margin,Net Margin,Return on Assets,Return on Equity,Return on Total Capital,Return on Invested Capital,Total Debt to Total Equity,Total Debt to Total Capital,Total Debt to Total Assets,Long-Term Debt to Equity,Long-Term Debt to Total Capital
HOLX,10.00,12.06,10.61,3.53,4.60,8.52,6.91,3.82,0.14,840015.00,279120.00,4.74,0.70,2.39,2.01,0.88,6664.00,4408.00,4192.00,3323.00,2323.00,5406.00,3757.00,2989.00,74.54,42.71,35.25,66.40,38.04
HD,20.00,19.45,23.60,2.57,N/A,23.40,14.02,2.38,N/A,N/A,N/A,N/A,2.12,1.01,0.24,0.08,3205.00,1524.00,1438.00,1087.00,2307.00,205028.00,5047.00,N/A,N/A,N/A,64.37,N/A,N/A
HON,25.09,26.77,26.35,4.25,7.69,24.19,17.93,4.15,N/A,N/A,N/A,N/A,0.53,1.30,1.04,0.59,3714.00,1961.00,2104.00,1612.00,859.00,3069.00,1668.00,N/A,N/A,N/A,32.00,N/A,N/A
HRL,29.89,28.43,25.50,2.04,3.29,23.13,21.89,2.40,N/A,N/A,N/A,N/A,1.01,2.08,1.12,0.45,1720.00,997.00,989.00,798.00,804.00,1357.00,1250.00,N/A,N/A,N/A,26.77,N/A,N/A
HST,N/A,24.44,N/A,4.27,1.93,43.49,36.92,4.33,N/A,N/A,N/A,N/A,0.23,N/A,N/A,N/A,-232.00,-574.00,-353.00,-38.00,-9.00,-17.00,-136.00,N/A,N/A,N/A,44.16,N/A,N/A
HWM,65.50,53.72,54.09,2.78,3.89,30.84,17.29,3.86,N/A,N/A,N/A,N/A,0.46,2.18,1.07,0.58,2281.00,1742.00,652.00,519.00,238.00,728.00,1041.00,N/A,N/A,N/A,42.53,N/A,N/A
HPQ,6.50,5.85,5.69,0.58,N/A,5.77,6.13,0.62,N/A,N/A,N/A,N/A,1.74,0.76,0.49,0.15,2111.00,910.00,1179.00,1021.00,1775.00,N/A,9431.00,N/A,N/A,N/A,22.74,N/A,N/A
HUM,21.92,20.08,20.46,0.72,3.72,26.53,16.52,0.80,N/A,N/A,N/A,N/A,2.10,1.62,N/A,N/A,N/A,441.00,401.00,351.00,735.00,1968.00,1554.00,N/A,N/A,N/A,29.55,N/A,N/A
HBAN,16.01,12.70,17.21,3.29,1.29,9.44,12.41,3.32,N/A,N/A,N/A,N/A,0.04,0.05,N/A,N/A,N/A,2642.00,2642.00,2150.00,87.00,802.00,650.00,N/A,N/A,N/A,4.53,N/A,N/A
HII,17.07,15.80,13.83,0.79,2.66,9.90,15.59,1.18,N/A,N/A,N/A,N/A,0.96,1.15,1.08,0.26,1436.00,510.00,653.00,571.00,547.00,2310.00,959.00,N/A,N/A,N/A,31.77,N/A,N/A
IBM,20.88,21.61,21.05,2.11,6.35,9.45,12.45,2.61,N/A,N/A,N/A,N/A,0.40,0.85,0.80,0.22,5372.00,1225.00,847.00,822.00,327.00,2386.00,871.00,N/A,N/A,N/A,41.77,N/A,N/A
IEX,36.39,31.76,40.18,6.53,6.42,31.94,21.87,5.57,N/A,N/A,N/A,N/A,0.59,3.50,2.72,1.88,4924.00,2365.00,2097.00,1625.00,963.00,1682.00,1677.00,N/A,N/A,N/A,26.46,N/A,N/A
IDXX,46.08,50.67,76.53,17.73,80.70,75.71,32.19,10.24,N/A,N/A,N/A,N/A,1.36,1.18,0.83,0.19,5914.00,2949.00,2807.00,2317.00,3148.00,11268.00,5650.00,N/A,N/A,N/A,42.30,N/A,N/A
ITW,25.04,25.08,28.99,5.40,21.30,30.54,18.71,4.79,N/A,N/A,N/A,N/A,0.91,1.84,1.33,0.44,4035.00,2405.00,2301.00,1864.00,1700.00,7917.00,3024.00,N/A,N/A,N/A,49.02,N/A,N/A
ILMN,41.28,N/A,75.39,12.69,5.56,102.95,63.18,7.23,N/A,N/A,N/A,N/A,0.40,2.48,2.09,1.23,6969.00,632.00,1953.00,1684.00,668.00,987.00,288.00,N/A,N/A,N/A,16.69,N/A,N/A
INCY,17.27,17.46,17.18,5.46,4.30,21.75,20.30,4.25,N/A,N/A,N/A,N/A,0.70,3.65,3.62,2.75,9373.00,2135.00,1910.00,3176.00,2217.00,2973.00,1961.00,N/A,N/A,N/A,1.21,N/A,N/A
IR,47.84,33.19,55.22,5.06,2.80,42.34,22.08,4.20,N/A,N/A,N/A,N/A,0.34,2.80,2.22,1.44,3213.00,1218.00,996.00,1011.00,344.00,579.00,498.00,N/A,N/A,N/A,23.34,N/A,N/A
INTC,7.43,7.75,10.56,2.66,2.19,7.00,4.71,2.16,N/A,N/A,N/A,N/A,0.49,2.10,1.71,1.03,5518.00,2768.00,2746.00,2514.00,1236.00,2252.00,1736.00,N/A,N/A,N/A,22.91,N/A,N/A
ICE,14.85,17.71,19.04,7.62,3.38,24.74,12.39,7.82,N/A,N/A,N/A,N/A,0.06,N/A,N/A,N/A,7257.00,4742.00,5615.00,3999.00,254.00,1923.00,1309.00,N/A,N/A,N/A,7.36,N/A,N/A
IP,15.32,8.81,16.43,0.95,1.96,9.08,8.65,1.04,N/A,N/A,N/A,N/A,0.68,1.71,1.27,0.37,2297.00,764.00,516.00,579.00,394.00,1325.00,742.00,N/A,N/A,N/A,31.87,N/A,N/A
IPG,12.69,12.20,15.66,1.46,4.19,7.19,7.74,1.24,N/A,N/A,N/A,N/A,0.54,1.03,1.03,0.30,1532.00,1413.00,1193.00,930.00,502.00,2968.00,1741.00,N/A,N/A,N/A,24.10,N/A,N/A
IFF,112.77,49.94,136.59,3.14,1.82,25.48,21.08,3.42,N/A,N/A,N/A,N/A,0.44,1.92,1.23,0.20,2575.00,765.00,304.00,230.00,101.00,196.00,400.00,N/A,N/A,N/A,30.76,N/A,N/A
INTU,63.39,54.73,70.17,15.02,14.67,43.63,45.34,10.41,0.02,713556.00,152741.00,28.54,0.73,1.94,1.94,1.46,8101.00,2627.00,2653.00,2141.00,1559.00,2754.00,2400.00,2100.00,25.13,20.08,15.98,24.46,19.55
ISRG,50.65,59.87,77.10,23.02,10.78,62.90,37.50,13.44,N/A,N/A,N/A,N/A,0.46,5.08,4.57,3.66,6900.00,3189.00,3310.00,2985.00,1379.00,1576.00,1665.00,N/A,N/A,N/A,0.64,N/A,N/A
IVZ,6.37,8.15,7.69,1.53,0.92,7.38,7.53,2.43,N/A,N/A,N/A,N/A,0.20,N/A,N/A,N/A,6641.00,2776.00,3567.00,2325.00,471.00,1092.00,770.00,N/A,N/A,N/A,29.71,N/A,N/A
IQV,48.85,39.87,56.95,3.96,8.90,18.70,21.04,3.99,N/A,N/A,N/A,N/A,0.56,0.91,0.91,0.28,2437.00,1022.00,813.00,696.00,392.00,1604.00,741.00,N/A,N/A,N/A,51.70,N/A,N/A
IRM,34.92,42.51,33.82,3.39,17.71,20.06,17.17,5.63,N/A,N/A,N/A,N/A,0.31,N/A,N/A,N/A,4283.00,2007.00,1400.00,1002.00,315.00,4519.00,726.00,N/A,N/A,N/A,81.03,N/A,N/A
JBHT,27.34,21.86,28.64,1.79,6.89,17.80,12.86,1.53,N/A,N/A,N/A,N/A,1.87,1.34,1.32,0.21,1098.00,864.00,822.00,625.00,1169.00,2661.00,2432.00,N/A,N/A,N/A,21.33,N/A,N/A
JKHY,50.26,42.04,39.72,7.04,9.17,26.77,21.80,7.95,0.01,261874.00,46391.00,5.00,0.72,0.96,0.96,0.10,3952.00,2268.00,2262.00,1771.00,1280.00,2171.00,2574.00,2026.00,12.21,10.88,6.74,11.33,10.10
J,43.20,37.12,43.74,1.26,2.92,24.34,19.74,1.35,N/A,N/A,N/A,N/A,1.04,1.34,1.34,0.32,2033.00,534.00,495.00,291.00,304.00,697.00,795.00,N/A,N/A,N/A,26.13,N/A,N/A
JNJ,21.17,24.01,21.91,4.88,6.08,19.54,13.73,4.58,N/A,N/A,N/A,N/A,0.53,1.35,1.12,0.70,6814.00,2611.00,2429.00,2227.00,1170.00,3041.00,2349.00,N/A,N/A,N/A,19.09,N/A,N/A
JCI,25.57,38.79,29.99,2.07,2.75,19.74,13.33,1.93,0.16,234337.00,14980.00,4.24,0.57,1.08,0.86,0.15,3402.00,1169.00,1104.00,639.00,366.00,864.00,998.00,582.00,51.90,34.17,21.76,48.75,32.09
JPM,7.95,9.74,10.31,3.80,1.80,9.69,13.34,6.83,N/A,N/A,N/A,N/A,0.04,1.37,N/A,N/A,N/A,4605.00,4719.00,3811.00,135.00,1678.00,680.00,N/A,N/A,N/A,15.17,N/A,N/A
JNPR,37.94,24.27,46.86,2.50,2.66,17.17,13.92,2.02,N/A,N/A,N/A,N/A,0.52,1.58,1.43,0.67,5870.00,928.00,655.00,534.00,277.00,570.00,672.00,N/A,N/A,N/A,21.11,N/A,N/A
K,17.38,17.33,14.85,1.56,5.91,12.99,15.41,2.27,N/A,N/A,N/A,N/A,0.78,0.64,0.38,0.05,3168.00,1185.00,1386.00,1049.00,823.00,4356.00,1418.00,N/A,N/A,N/A,42.52,N/A,N/A
KDP,25.96,25.62,24.53,4.15,2.09,18.31,19.04,5.13,N/A,N/A,N/A,N/A,0.25,0.47,0.32,0.09,5040.00,2261.00,2206.00,1692.00,428.00,879.00,746.00,N/A,N/A,N/A,26.50,N/A,N/A
KEY,7.30,N/A,8.79,2.99,1.38,14.74,8.83,4.09,N/A,N/A,N/A,N/A,0.04,0.14,N/A,N/A,N/A,4443.00,4397.00,3529.00,146.00,1476.00,1023.00,N/A,N/A,N/A,7.20,N/A,N/A
KEYS,35.48,30.34,37.65,6.81,8.65,25.46,22.22,5.93,N/A,N/A,N/A,N/A,0.66,2.93,2.34,1.57,6209.00,2188.00,2044.00,1809.00,1192.00,2525.00,1950.00,N/A,N/A,N/A,26.00,N/A,N/A
KMB,25.14,25.50,26.69,2.49,93.66,17.74,14.99,2.70,N/A,N/A,N/A,N/A,1.10,0.82,0.49,0.04,3159.00,1468.00,1145.00,933.00,1026.00,31825.00,2901.00,N/A,N/A,N/A,51.00,N/A,N/A
KIM,14.27,20.80,15.40,9.24,1.54,20.37,25.80,13.19,N/A,N/A,N/A,N/A,0.09,N/A,N/A,N/A,4040.00,3277.00,5460.00,6204.00,563.00,1092.00,304.00,N/A,N/A,N/A,42.99,N/A,N/A
KMI,23.80,17.40,20.30,2.05,1.17,6.12,10.02,3.96,N/A,N/A,N/A,N/A,0.24,0.66,0.56,0.20,3630.00,3014.00,1266.00,1010.00,243.00,569.00,794.00,N/A,N/A,N/A,46.48,N/A,N/A
KLAC,17.01,16.73,14.56,5.25,N/A,N/A,14.88,6.49,N/A,N/A,N/A,N/A,0.81,2.50,1.75,0.94,6284.00,4220.00,3788.00,3606.00,2905.00,13902.00,5189.00,N/A,N/A,N/A,52.88,N/A,N/A
KHC,47.30,31.53,43.05,1.67,0.88,8.12,11.11,2.59,N/A,N/A,N/A,N/A,0.27,0.99,0.69,0.38,3297.00,1947.00,656.00,389.00,105.00,204.00,671.00,N/A,N/A,N/A,24.02,N/A,N/A
KR,21.71,16.04,20.00,0.24,3.34,4.82,7.15,0.36,N/A,N/A,N/A,N/A,2.67,0.75,0.33,0.18,1996.00,271.00,149.00,119.00,317.00,1723.00,1248.00,N/A,N/A,N/A,39.44,N/A,N/A
LHX,26.06,24.03,23.47,2.43,2.15,16.13,16.37,3.11,N/A,N/A,N/A,N/A,0.50,1.39,1.18,0.21,3018.00,1248.00,1282.00,1037.00,515.00,925.00,796.00,N/A,N/A,N/A,22.87,N/A,N/A
LH,10.61,12.05,12.89,1.90,2.85,9.85,6.57,1.80,N/A,N/A,N/A,N/A,0.80,1.92,1.77,0.53,3260.00,2085.00,1939.00,1475.00,1175.00,2422.00,2051.00,N/A,N/A,N/A,31.11,N/A,N/A
LRCX,15.83,N/A,13.75,3.68,9.82,20.42,12.66,4.20,N/A,N/A,N/A,N/A,1.04,2.69,1.82,0.80,4569.00,3124.00,3015.00,2673.00,2784.00,7485.00,4789.00,N/A,N/A,N/A,29.11,N/A,N/A
LW,58.32,57.96,49.38,2.42,27.17,23.73,21.85,3.38,N/A,N/A,N/A,N/A,0.98,2.37,1.51,0.75,2030.00,1092.00,691.00,490.00,481.00,4777.00,1360.00,N/A,N/A,N/A,68.97,N/A,N/A
LVS,N/A,16.52,N/A,6.79,14.41,N/A,105.26,10.87,N/A,N/A,N/A,N/A,0.21,2.15,2.14,0.73,1339.00,-1519.00,-3481.00,-2726.00,-565.00,-4645.00,-367.00,N/A,N/A,N/A,74.59,N/A,N/A
LDOS,18.64,18.68,16.88,0.93,2.90,12.33,12.33,1.30,N/A,N/A,N/A,N/A,1.07,1.09,1.00,0.27,1466.00,847.00,704.00,548.00,584.00,1847.00,1196.00,N/A,N/A,N/A,43.77,N/A,N/A
LEN,6.15,5.83,7.36,1.19,1.51,11.13,5.64,0.96,N/A,N/A,N/A,N/A,0.86,5.06,0.92,0.63,2706.00,1875.00,2144.00,1613.00,1386.00,2256.00,1914.00,N/A,N/A,N/A,19.70,N/A,N/A
LNC,6.75,9.77,9.19,0.67,0.60,85.48,6.56,0.65,N/A,N/A,N/A,N/A,0.05,N/A,N/A,0.00,N/A,978.00,854.00,732.00,39.00,654.00,425.00,N/A,N/A,N/A,1.83,N/A,N/A
LIN,41.72,43.52,47.25,5.87,4.00,18.59,16.62,5.05,N/A,N/A,N/A,N/A,0.36,0.74,0.62,0.21,2798.00,1716.00,1656.00,1241.00,450.00,837.00,829.00,N/A,N/A,N/A,18.65,N/A,N/A
LYV,N/A,N/A,N/A,4.15,N/A,14.60,350.28,2.16,N/A,N/A,N/A,N/A,0.50,0.97,0.97,0.71,2387.00,-669.00,-975.00,-1070.00,-537.00,N/A,-581.00,N/A,N/A,N/A,51.80,N/A,N/A
LKQ,15.08,12.85,16.38,1.37,2.99,13.07,10.75,1.45,N/A,N/A,N/A,N/A,1.05,1.96,0.76,0.13,3868.00,1141.00,1069.00,833.00,873.00,1908.00,1491.00,N/A,N/A,N/A,33.51,N/A,N/A
LMT,18.84,24.31,15.61,1.47,8.79,10.69,11.85,1.93,N/A,N/A,N/A,N/A,1.32,1.42,1.20,0.26,1581.00,1357.00,1126.00,942.00,1243.00,7441.00,4120.00,N/A,N/A,N/A,27.28,N/A,N/A
L,9.48,13.08,9.52,1.02,0.80,5.62,7.49,2.29,N/A,N/A,N/A,N/A,0.19,0.58,N/A,N/A,N/A,1786.00,1487.00,1076.00,208.00,884.00,652.00,N/A,N/A,N/A,24.20,N/A,N/A
LOW,17.16,16.23,19.53,1.71,N/A,16.24,10.91,1.68,N/A,N/A,N/A,N/A,2.03,1.02,0.12,0.07,3158.00,1273.00,1164.00,874.00,1777.00,N/A,4694.00,N/A,N/A,N/A,63.42,N/A,N/A
LUMN,5.85,5.68,6.59,0.68,1.08,2.06,4.82,2.19,N/A,N/A,N/A,N/A,0.34,1.57,1.56,0.05,3541.00,2177.00,1372.00,1033.00,346.00,1768.00,983.00,N/A,N/A,N/A,52.66,N/A,N/A
LYB,5.46,5.54,5.50,0.67,2.56,4.08,4.80,0.78,N/A,N/A,N/A,N/A,1.28,1.69,1.00,0.21,1890.00,1591.00,1470.00,1215.00,1555.00,5657.00,2869.00,N/A,N/A,N/A,37.01,N/A,N/A
MTB,13.76,23.47,11.13,3.07,1.22,8.56,11.85,5.37,N/A,N/A,N/A,N/A,0.04,0.72,N/A,N/A,N/A,4350.00,3663.00,2868.00,124.00,1085.00,1304.00,N/A,N/A,N/A,2.56,N/A,N/A
MRO,19.92,5.43,13.68,2.31,1.14,4.14,5.31,2.78,N/A,N/A,N/A,N/A,0.32,1.11,1.07,0.35,3817.00,2726.00,1793.00,1689.00,541.00,890.00,989.00,N/A,N/A,N/A,24.17,N/A,N/A
MPC,36.24,6.38,23.79,0.34,1.41,9.36,8.50,0.41,N/A,N/A,N/A,N/A,1.40,1.70,1.25,0.61,571.00,359.00,235.00,108.00,151.00,532.00,695.00,N/A,N/A,N/A,31.51,N/A,N/A
MKTX,40.01,42.12,60.76,22.35,14.98,52.76,24.47,13.98,N/A,N/A,N/A,N/A,0.49,N/A,N/A,N/A,8402.00,4811.00,4763.00,3679.00,1802.00,2584.00,3096.00,N/A,N/A,N/A,5.78,N/A,N/A
MAR,48.28,30.46,49.51,3.93,38.13,46.23,30.02,3.47,N/A,N/A,N/A,N/A,0.55,0.57,0.57,0.22,1863.00,1285.00,852.00,793.00,437.00,11920.00,1449.00,N/A,N/A,N/A,44.56,N/A,N/A
MMC,28.19,25.87,28.37,4.50,7.95,23.07,16.87,4.71,N/A,N/A,N/A,N/A,0.59,N/A,N/A,N/A,N/A,2379.00,2125.00,1587.00,932.00,3125.00,1995.00,N/A,N/A,N/A,38.27,N/A,N/A
MLM,32.71,28.95,38.93,5.09,4.21,24.24,18.95,4.79,N/A,N/A,N/A,N/A,0.42,2.69,1.69,0.34,2469.00,1909.00,1580.00,1296.00,548.00,1130.00,981.00,N/A,N/A,N/A,37.64,N/A,N/A
MAS,33.85,14.77,43.41,2.10,N/A,18.95,9.11,1.66,N/A,N/A,N/A,N/A,1.48,1.76,1.14,0.48,3419.00,1731.00,821.00,485.00,715.00,507500.00,4360.00,N/A,N/A,N/A,56.84,N/A,N/A
MA,40.46,35.58,41.03,18.88,48.16,38.39,31.59,16.71,N/A,N/A,N/A,N/A,0.53,1.29,1.29,0.64,N/A,5394.00,5458.00,4600.00,2438.00,12679.00,4836.00,N/A,N/A,N/A,38.95,N/A,N/A
MTCH,71.43,159.43,142.54,13.51,N/A,44.18,24.04,6.92,N/A,N/A,N/A,N/A,0.74,1.04,1.04,0.71,6952.00,2855.00,859.00,929.00,690.00,N/A,2700.00,N/A,N/A,N/A,80.06,N/A,N/A
MKC,32.03,35.49,30.67,3.67,5.21,27.96,22.60,4.59,N/A,N/A,N/A,N/A,0.51,0.68,0.31,0.11,3967.00,1745.00,1418.00,1195.00,604.00,1812.00,1170.00,N/A,N/A,N/A,42.02,N/A,N/A
MCD,26.12,31.99,26.71,8.68,N/A,22.05,20.40,10.07,N/A,N/A,N/A,N/A,0.44,1.78,1.76,1.17,5387.00,4209.00,3931.00,3249.00,1417.00,N/A,2212.00,N/A,N/A,N/A,91.63,N/A,N/A
MCK,49.63,37.50,42.35,0.18,N/A,9.85,14.80,0.21,N/A,N/A,N/A,N/A,4.11,0.95,0.57,0.08,479.00,103.00,73.00,42.00,174.00,N/A,3281.00,N/A,N/A,N/A,11.92,N/A,N/A
MDT,25.22,25.10,27.99,4.45,2.64,19.20,14.15,4.40,N/A,N/A,N/A,N/A,0.34,1.86,1.49,0.85,6288.00,2255.00,1741.00,1591.00,548.00,969.00,912.00,N/A,N/A,N/A,27.46,N/A,N/A
MRK,17.30,13.62,14.91,3.98,5.07,13.79,14.89,4.35,N/A,N/A,N/A,N/A,0.50,1.27,1.02,0.34,7247.00,2794.00,2838.00,2524.00,1252.00,3888.00,2075.00,N/A,N/A,N/A,32.77,N/A,N/A
META,12.89,14.32,24.43,8.15,7.38,16.67,8.10,3.71,N/A,N/A,N/A,N/A,0.73,3.15,3.15,2.28,8079.00,3965.00,4010.00,3338.00,2421.00,3110.00,3354.00,N/A,N/A,N/A,8.71,N/A,N/A
MET,9.13,15.95,8.55,0.78,0.76,4.24,6.28,0.77,N/A,N/A,N/A,N/A,0.09,1.72,N/A,N/A,N/A,1097.00,1166.00,941.00,84.00,923.00,972.00,N/A,N/A,N/A,2.40,N/A,N/A
MTD,41.08,37.45,51.77,10.71,226.17,43.81,29.03,8.28,N/A,N/A,N/A,N/A,1.21,1.11,0.75,0.09,5671.00,2676.00,2553.00,2068.00,2504.00,33869.00,5394.00,N/A,N/A,N/A,54.13,N/A,N/A
MGM,14.75,4.70,18.60,2.26,3.35,15.81,17.63,2.82,N/A,N/A,N/A,N/A,0.23,1.86,1.84,1.51,3615.00,582.00,1510.00,1215.00,283.00,1870.00,165.00,N/A,N/A,N/A,56.17,N/A,N/A
MCHP,31.42,26.02,33.08,6.23,7.07,14.96,15.54,6.51,N/A,N/A,N/A,N/A,0.42,1.75,1.14,0.23,5172.00,2755.00,2173.00,1885.00,787.00,2289.00,1335.00,N/A,N/A,N/A,48.46,N/A,N/A
MU,12.66,7.35,14.40,3.05,1.88,6.77,5.39,2.17,0.09,644302.00,136302.00,6.01,0.49,3.10,2.40,1.34,3752.00,2469.00,2244.00,2116.00,1042.00,1413.00,1405.00,1209.00,16.57,14.22,12.37,16.22,13.91
MSFT,29.75,29.62,26.62,9.77,11.51,21.75,21.61,10.66,N/A,N/A,N/A,N/A,0.57,1.78,1.75,1.10,6840.00,4206.00,4222.00,3669.00,2082.00,4715.00,3554.00,N/A,N/A,N/A,21.49,N/A,N/A
MAA,39.98,36.21,49.79,14.84,4.41,29.48,25.85,13.61,N/A,N/A,N/A,N/A,0.16,N/A,N/A,N/A,2912.00,2589.00,3167.00,2999.00,474.00,898.00,430.00,N/A,N/A,N/A,40.29,N/A,N/A
MRNA,6.07,5.12,8.97,5.95,7.24,8.05,4.35,2.56,N/A,N/A,N/A,N/A,1.14,1.76,1.60,1.18,8453.00,7189.00,7215.00,6627.00,7578.00,14608.00,14824.00,N/A,N/A,N/A,3.68,N/A,N/A
MHK,8.44,8.16,12.19,1.12,1.42,9.62,5.05,0.86,N/A,N/A,N/A,N/A,0.78,1.78,0.97,0.20,2935.00,1213.00,1152.00,922.00,724.00,1219.00,1193.00,N/A,N/A,N/A,19.19,N/A,N/A
MOH,29.20,25.50,28.28,0.67,7.01,8.80,14.92,0.57,N/A,N/A,N/A,N/A,2.55,1.43,N/A,N/A,N/A,367.00,315.00,237.00,605.00,2789.00,2124.00,N/A,N/A,N/A,20.67,N/A,N/A
TAP,12.27,16.88,10.03,0.98,0.75,6.41,10.05,1.79,N/A,N/A,N/A,N/A,0.37,0.77,0.54,0.18,3342.00,1069.00,1205.00,978.00,366.00,780.00,524.00,N/A,N/A,N/A,26.41,N/A,N/A
MDLZ,21.13,23.12,21.79,3.26,3.26,22.63,18.41,3.50,N/A,N/A,N/A,N/A,0.43,0.74,0.54,0.25,3710.00,1593.00,1780.00,1497.00,637.00,1540.00,945.00,N/A,N/A,N/A,30.03,N/A,N/A
MPWR,102.49,74.51,97.62,19.56,18.34,73.83,78.83,15.64,N/A,N/A,N/A,N/A,0.86,4.96,3.81,3.19,5675.00,2224.00,2254.00,2004.00,1727.00,2190.00,2421.00,N/A,N/A,N/A,0.36,N/A,N/A
MNST,34.72,38.95,37.35,9.28,7.74,44.51,23.83,7.36,N/A,N/A,N/A,N/A,0.78,4.85,4.24,3.19,5610.00,3253.00,3251.00,2486.00,1950.00,2349.00,3064.00,N/A,N/A,N/A,0.28,N/A,N/A
MCO,26.95,34.02,33.15,11.80,26.59,36.40,20.75,10.78,N/A,N/A,N/A,N/A,0.46,1.61,1.61,0.76,6954.00,4574.00,4431.00,3561.00,1635.00,10307.00,2903.00,N/A,N/A,N/A,54.31,N/A,N/A
MS,11.23,11.86,12.22,2.90,1.78,5.97,19.14,7.88,N/A,N/A,N/A,N/A,0.05,1.37,N/A,N/A,N/A,3197.00,3206.00,2450.00,130.00,1451.00,473.00,N/A,N/A,N/A,27.09,N/A,N/A
MOS,12.82,6.11,9.19,1.21,1.40,6.86,6.44,1.42,N/A,N/A,N/A,N/A,0.59,1.11,0.54,0.16,2579.00,2230.00,1800.00,1320.00,780.00,1616.00,1858.00,N/A,N/A,N/A,19.99,N/A,N/A
MSI,35.18,35.84,37.89,5.77,N/A,25.68,20.93,5.48,N/A,N/A,N/A,N/A,0.71,1.32,1.13,0.46,4665.00,2111.00,1899.00,1524.00,1080.00,N/A,3061.00,N/A,N/A,N/A,50.29,N/A,N/A
MSCI,57.62,50.75,70.45,25.03,N/A,53.38,35.84,19.85,N/A,N/A,N/A,N/A,0.42,1.71,1.71,1.14,7709.00,5249.00,4199.00,3553.00,1496.00,N/A,2951.00,N/A,N/A,N/A,78.72,N/A,N/A
NDAQ,26.46,27.14,29.79,6.01,5.47,32.65,19.45,6.15,N/A,N/A,N/A,N/A,0.31,N/A,N/A,N/A,5338.00,2705.00,2606.00,2017.00,623.00,1851.00,1270.00,N/A,N/A,N/A,31.09,N/A,N/A
NTAP,18.01,17.93,17.90,2.65,19.23,13.85,10.28,2.37,N/A,N/A,N/A,N/A,0.65,1.48,1.43,1.05,6662.00,1913.00,1731.00,1481.00,967.00,12305.00,3354.00,N/A,N/A,N/A,29.32,N/A,N/A
NFLX,21.60,21.44,53.62,9.24,16.88,698.75,6.44,3.87,N/A,N/A,N/A,N/A,0.71,0.95,0.95,0.71,4164.00,2086.00,1967.00,1723.00,1220.00,3802.00,1950.00,N/A,N/A,N/A,40.63,N/A,N/A
NWL,15.53,11.91,16.34,0.88,2.27,10.57,9.77,1.29,N/A,N/A,N/A,N/A,0.73,1.28,0.68,0.14,3149.00,1010.00,654.00,540.00,396.00,1436.00,1085.00,N/A,N/A,N/A,38.85,N/A,N/A
NEM,31.12,45.47,42.60,4.08,2.23,11.61,6.11,3.00,N/A,N/A,N/A,N/A,0.30,2.90,2.23,1.91,1949.00,1572.00,909.00,910.00,271.00,493.00,651.00,N/A,N/A,N/A,15.54,N/A,N/A
NWSA,17.91,17.80,14.84,0.89,N/A,6.82,7.40,1.29,N/A,N/A,N/A,N/A,0.61,1.16,1.07,0.52,4403.00,945.00,782.00,600.00,367.00,758.00,758.00,N/A,N/A,N/A,23.32,N/A,N/A
NWS,17.91,17.80,14.84,0.89,N/A,6.82,7.40,1.29,N/A,N/A,N/A,N/A,0.61,1.16,1.07,0.52,4403.00,945.00,782.00,600.00,367.00,758.00,758.00,N/A,N/A,N/A,23.32,N/A,N/A
NEE,49.94,69.18,51.53,8.66,4.93,24.38,20.61,9.12,N/A,N/A,N/A,N/A,0.16,0.53,0.44,0.04,4167.00,3321.00,1493.00,1680.00,266.00,969.00,726.00,N/A,N/A,N/A,39.30,N/A,N/A
NLSN,20.97,18.82,15.60,2.11,2.22,11.10,10.99,4.34,N/A,N/A,N/A,N/A,0.28,1.74,1.74,0.58,5074.00,2529.00,1594.00,1574.00,442.00,2054.00,868.00,N/A,N/A,N/A,53.66,N/A,N/A
NKE,30.92,30.62,31.66,4.09,12.22,36.90,24.24,3.88,N/A,N/A,N/A,N/A,1.20,2.63,1.84,1.21,4613.00,1449.00,1421.00,1292.00,1549.00,4311.00,2535.00,N/A,N/A,N/A,31.32,N/A,N/A
NI,23.96,20.05,21.75,2.35,2.07,9.60,12.53,4.07,N/A,N/A,N/A,N/A,0.20,0.70,0.52,0.03,5631.00,2071.00,1442.00,1194.00,241.00,921.00,620.00,N/A,N/A,N/A,38.94,N/A,N/A
NDSN,30.83,28.85,32.86,6.32,6.85,27.35,19.98,5.77,N/A,N/A,N/A,N/A,0.63,2.62,1.88,0.67,5605.00,2604.00,2431.00,1923.00,1217.00,2319.00,2011.00,N/A,N/A,N/A,25.10,N/A,N/A
NSC,21.48,20.38,24.58,6.63,5.24,17.36,13.53,6.32,N/A,N/A,N/A,N/A,0.29,0.86,0.77,0.33,3918.00,3918.00,3481.00,2695.00,777.00,2112.00,1535.00,N/A,N/A,N/A,38.02,N/A,N/A
NTRS,14.58,14.17,16.76,3.84,2.23,18.43,-14.86,-5.40,N/A,N/A,N/A,N/A,0.04,1.39,N/A,N/A,N/A,3088.00,3088.00,2354.00,87.00,1293.00,963.00,N/A,N/A,N/A,4.58,N/A,N/A
