Strike Price,Last Trade Price,Price Change Since Last Close,Bid Price,Ask Price,Volume,Open Interest,Strike Price,Last Trade Price,Price Change Since Last Close,Bid Price,Ask Price,Volume,Open Interest
50.00,148.15,14.50,135.00,136.00,24,60,50.00,0.02,-0.02,0.02,0.03,159,"4,773"
55.00,143.30,0.00,130.05,131.00,0,51,55.00,0.04,0.00,0.02,0.03,7,614
60.00,148.50,0.00,125.05,126.05,0,159,60.00,0.03,-0.03,0.04,0.05,8,"1,522"
65.00,145.00,0.00,120.10,121.10,0,64,65.00,0.06,-0.02,0.05,0.07,5,998
70.00,120.34,0.00,115.15,116.15,0,167,70.00,0.10,0.00,0.06,0.09,10,"1,455"
75.00,115.49,0.00,110.20,111.20,0,135,75.00,0.09,-0.02,0.09,0.11,74,"1,918"
80.00,112.02,0.00,105.25,106.25,0,84,80.00,0.15,0.01,0.11,0.13,44,"2,370"
85.00,110.89,0.00,100.30,101.30,0,62,85.00,0.16,-0.02,0.15,0.16,618,"2,486"
90.00,106.05,0.95,95.40,96.35,1,241,90.00,0.19,-0.04,0.19,0.20,31,"3,499"
95.00,90.10,-1.90,90.45,91.45,1,135,95.00,0.25,-0.04,0.24,0.26,1,"2,472"
100.00,84.92,-1.18,85.55,86.55,29,"1,077",100.00,0.31,-0.03,0.30,0.32,"1,420","22,286"
105.00,84.64,-4.44,80.70,81.65,1,293,105.00,0.38,-0.08,0.38,0.41,19,"7,022"
110.00,76.19,0.22,75.80,76.80,5,971,110.00,0.51,-0.05,0.49,0.52,430,"8,837"
115.00,80.65,0.15,71.00,71.95,1,"1,294",115.00,0.63,-0.09,0.63,0.66,84,"3,496"
120.00,64.59,-2.51,66.20,67.20,1,"6,646",120.00,0.82,-0.08,0.80,0.83,141,"9,288"
125.00,61.94,0.23,61.45,62.45,4,"3,184",125.00,1.04,-0.11,1.02,1.06,164,"4,064"
130.00,57.00,-1.00,56.75,57.75,3,"2,998",130.00,1.33,-0.14,1.31,1.35,200,"6,236"
135.00,53.12,-0.50,52.15,53.15,5,"2,028",135.00,1.70,-0.18,1.68,1.72,"1,523","20,089"
140.00,48.00,-1.00,47.65,48.65,17,"1,970",140.00,2.20,-0.16,2.15,2.22,992,"9,812"
145.00,43.70,-1.15,43.55,43.85,1,"2,453",145.00,2.76,-0.20,2.74,2.85,505,"4,209"
150.00,40.30,-0.20,39.30,39.65,42,"3,966",150.00,3.50,-0.26,3.45,3.60,839,"13,203"
155.00,35.50,-1.01,35.15,35.60,517,"1,821",155.00,4.45,-0.25,4.35,4.50,537,"2,497"
160.00,31.50,-0.92,31.35,31.70,465,"3,354",160.00,5.55,-0.20,5.50,5.60,"1,229","12,544"
165.00,27.55,-1.50,27.60,28.05,51,"1,718",165.00,6.80,-0.31,6.80,6.95,566,"3,548"
170.00,24.07,-1.46,24.20,24.60,205,"3,436",170.00,8.40,-0.30,8.35,8.50,"2,103","14,280"
175.00,21.20,-0.77,21.15,21.35,165,"3,621",175.00,10.19,-0.31,10.10,10.30,"2,957","11,424"
180.00,18.30,-0.72,18.20,18.35,817,"10,952",180.00,12.28,-0.26,12.20,12.35,"3,911","14,560"
185.00,15.60,-0.80,15.55,15.70,"4,567","5,026",185.00,14.55,-0.35,14.50,14.70,"4,508","5,604"
190.00,13.28,-0.62,13.20,13.35,"1,241","12,732",190.00,17.21,-0.09,17.10,17.30,563,"12,931"
195.00,11.25,-0.60,11.05,11.20,873,"14,627",195.00,20.08,0.13,19.95,20.20,287,"11,531"
200.00,9.30,-0.60,9.25,9.35,"2,750","22,619",200.00,23.16,0.01,23.10,23.35,341,"15,159"
205.00,7.70,-0.79,7.65,7.80,729,"10,203",205.00,26.70,0.20,26.50,26.80,103,"8,236"
210.00,6.43,-0.42,6.30,6.45,863,"12,573",210.00,30.10,0.25,30.10,30.55,36,"5,537"
215.00,5.21,-0.39,5.20,5.25,"1,424","7,878",215.00,36.00,1.89,33.95,34.40,8,"3,373"
220.00,4.28,-0.51,4.20,4.35,"1,341","8,870",220.00,38.20,-0.28,38.05,38.45,22,"2,598"
225.00,3.54,-0.36,3.45,3.55,478,"7,741",225.00,43.10,1.20,42.30,42.70,1,"1,425"
230.00,2.87,-0.33,2.82,2.90,925,"5,867",230.00,46.98,0.68,46.70,47.10,3,954
