Strike Price,Last Trade Price,Price Change Since Last Close,Bid Price,Ask Price,Volume,Open Interest,Strike Price,Last Trade Price,Price Change Since Last Close,Bid Price,Ask Price,Volume,Open Interest
20.00,0.00,0.00,164.60,165.90,0,0,20.00,0.01,-0.01,0.00,0.02,250,50
30.00,0.00,0.00,154.65,155.90,0,0,30.00,0.01,-0.02,0.00,0.01,20,6
40.00,0.00,0.00,144.70,145.95,0,0,40.00,0.05,0.03,0.00,0.02,10,10
50.00,0.00,0.00,134.75,135.90,0,0,50.00,0.01,-0.02,0.01,0.03,25,26
60.00,0.00,0.00,124.80,125.95,0,0,60.00,0.03,0.01,0.01,0.04,3,12
70.00,0.00,0.00,114.85,116.00,0,0,70.00,0.04,-0.02,0.02,0.04,3,13
80.00,0.00,0.00,104.90,106.05,0,0,80.00,0.06,-0.02,0.03,0.05,9,50
90.00,118.40,0.00,94.95,96.25,50,50,90.00,0.09,-0.02,0.09,0.11,50,62
100.00,84.50,-1.70,85.05,86.20,5,41,100.00,0.15,-0.03,0.11,0.15,72,324
105.00,89.75,0.00,80.10,81.40,0,1,105.00,0.16,-0.06,0.15,0.19,45,290
110.00,77.27,-5.23,75.20,76.35,1,50,110.00,0.23,-0.04,0.20,0.23,18,50
115.00,78.30,-10.07,70.25,71.55,50,70,115.00,0.28,-0.09,0.27,0.31,21,115
120.00,66.03,-2.77,65.40,66.55,59,19,120.00,0.41,-0.05,0.36,0.40,30,245
125.00,59.80,-6.17,60.55,61.70,50,1,125.00,0.51,-0.11,0.49,0.53,34,459
130.00,56.00,-2.74,55.70,57.00,10,12,130.00,0.67,-0.13,0.66,0.71,112,548
135.00,52.04,-1.96,50.95,52.15,7,8,135.00,0.91,-0.12,0.89,0.95,101,282
140.00,46.90,0.43,46.30,47.45,15,18,140.00,1.25,-0.17,1.20,1.25,295,596
145.00,42.32,-1.18,41.75,43.00,31,5,145.00,1.67,-0.18,1.62,1.70,162,640
149.00,35.30,-9.80,38.50,38.95,1,1,149.00,2.06,-0.28,2.04,2.18,62,167
150.00,38.40,0.35,37.60,38.10,31,40,150.00,2.21,-0.21,2.18,2.27,507,"1,210"
155.00,34.30,-0.60,33.40,33.85,4,34,155.00,2.86,-0.28,2.82,2.97,95,497
160.00,29.65,-1.06,29.30,29.75,13,70,160.00,3.86,-0.21,3.75,3.95,252,"1,300"
162.50,33.70,0.00,27.35,27.80,4,4,162.50,4.45,-0.19,4.35,4.50,42,215
165.00,25.78,-1.03,25.45,25.95,27,54,165.00,5.05,-0.29,4.85,5.05,159,775
167.50,24.52,-6.28,23.60,24.10,4,13,167.50,5.64,-0.25,5.55,5.75,54,308
170.00,22.31,-0.97,21.85,22.35,12,137,170.00,6.35,-0.43,6.30,6.50,176,"1,197"
172.50,20.79,-0.92,20.25,20.55,14,52,172.50,7.25,-0.05,7.05,7.30,64,314
175.00,18.79,-1.21,18.65,18.95,49,853,175.00,8.05,-0.30,7.95,8.20,132,"1,003"
177.50,17.57,-0.24,17.10,17.40,73,13,177.50,9.10,-0.49,8.90,9.20,32,185
180.00,15.74,-1.01,15.65,15.95,281,225,180.00,10.10,-0.12,9.95,10.25,472,"1,615"
182.50,14.47,-0.68,14.30,14.60,169,62,182.50,11.35,-0.12,11.05,11.35,312,532
185.00,13.15,-0.65,13.00,13.25,481,228,185.00,12.30,-0.25,12.25,12.50,336,439
187.50,11.91,-0.79,11.75,12.05,229,462,187.50,13.70,-0.03,13.55,13.80,319,247
190.00,10.70,-0.80,10.65,10.85,674,943,190.00,14.95,-0.15,14.90,15.15,168,920
192.50,9.85,-0.45,9.60,9.85,178,371,192.50,16.17,-0.33,16.30,16.65,27,501
195.00,8.75,-0.63,8.60,8.85,285,"1,253",195.00,17.86,-0.29,17.80,18.10,89,457
197.50,7.75,-0.70,7.65,7.95,60,657,197.50,19.55,-0.85,19.40,19.75,11,310
200.00,6.90,-0.65,6.90,7.10,757,"3,162",200.00,21.10,0.00,21.10,21.40,44,"1,341"
202.50,6.21,-0.64,6.05,6.35,70,422,202.50,22.55,0.20,22.80,23.15,1,348
205.00,5.60,-0.46,5.40,5.60,476,"1,884",205.00,24.00,-0.60,24.60,24.95,38,381
207.50,4.90,-0.40,4.90,5.05,72,476,207.50,27.83,-0.12,26.45,26.95,1,141
210.00,4.38,-0.52,4.20,4.45,244,"1,263",210.00,28.54,-0.51,28.40,28.90,32,81
212.50,3.95,-0.35,3.70,3.95,53,196,212.50,21.58,0.00,30.40,30.90,5,5
215.00,3.45,-0.40,3.25,3.50,137,"1,262",215.00,34.61,2.21,32.45,32.95,2,22
217.50,2.99,-0.56,2.90,3.10,51,203,217.50,33.96,4.20,34.55,35.05,1,77
220.00,2.74,-0.36,2.56,2.73,540,"1,084",220.00,37.20,0.54,36.75,37.20,41,20
225.00,2.08,-0.37,2.05,2.14,260,"1,049",225.00,25.65,-7.40,41.20,41.65,3,2
230.00,1.67,-0.24,1.59,1.71,385,743,230.00,45.60,5.45,45.40,46.60,10,13
235.00,1.31,-0.24,1.24,1.33,115,499,235.00,41.55,8.05,49.95,51.25,1,1
240.00,1.06,-0.22,1.00,1.06,450,540,240.00,56.00,12.00,54.85,56.05,4,10
245.00,0.85,-0.19,0.79,0.85,51,543,245.00,0.00,0.00,59.65,60.85,0,0
250.00,0.68,-0.15,0.67,0.69,250,"1,154",250.00,66.50,1.81,64.40,65.75,1,761
255.00,0.58,-0.14,0.53,0.57,85,168,255.00,0.00,0.00,69.35,70.65,0,0
260.00,0.47,-0.12,0.44,0.47,211,559,260.00,68.47,6.40,74.25,75.60,50,1
265.00,0.40,-0.08,0.37,0.41,59,78,265.00,0.00,0.00,79.25,80.55,0,0
270.00,0.32,-0.09,0.30,0.34,61,324,270.00,82.22,0.00,84.20,85.50,0,0
275.00,0.29,-0.08,0.25,0.29,11,227,275.00,89.60,-0.15,89.25,90.75,1,1
280.00,0.25,-0.04,0.22,0.26,23,38,280.00,91.77,0.00,94.30,95.50,0,0
285.00,0.22,-0.08,0.20,0.22,35,73,285.00,0.00,0.00,99.30,100.50,0,0
290.00,0.20,-0.04,0.16,0.20,3,471,290.00,0.00,0.00,104.30,105.50,0,0
295.00,0.15,-0.06,0.15,0.18,27,36,295.00,102.34,1.34,109.30,110.50,20,10
300.00,0.14,-0.03,0.13,0.16,50,410,300.00,107.36,-4.17,114.30,115.50,10,0
310.00,0.12,-0.02,0.08,0.13,6,22,310.00,0.00,0.00,124.30,125.50,0,0
320.00,0.09,-0.01,0.06,0.10,11,607,320.00,0.00,0.00,134.20,135.50,0,0
330.00,0.08,-0.04,0.06,0.09,52,178,330.00,144.05,6.10,144.20,145.50,110,50
340.00,0.08,-0.02,0.05,0.08,10,22,340.00,0.00,0.00,154.20,155.50,0,0
350.00,0.06,-0.04,0.04,0.06,51,91,350.00,161.92,0.00,164.20,165.50,0,0
360.00,0.02,-0.02,0.03,0.06,1,"1,618",360.00,175.10,-0.25,174.20,175.50,1,1
